Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
124 /MzM2MmMxKRViQH1dekh4TnsLfV1iCyUVOhwqBCtHPgg7Dz4KaxkuDiRdI1AjHToJK1coCWsIKkclRjkdPl1-O2gAC0h_PjoNOhw6HWMIIV9_dGsfK0VrCToPfFR_SGsJJQ98XXVIawouDyUZOQhoSQwXfytoSgsNOkVjGj1WPRZoAAtLPRk_RyhEKAM5XX4-I1QSHi4KIhYhF39bPRkqH2gBCVVoSnsMKEBoXglKfUt7Q3xIf04rCCJcOQgjHBsfPxd-KX9WfEtjA3pIf04vGy5ZKAMpLigIaAEJXmNLf1R7F39bPg4kHmgBCVR-Hi4feFF-QC9KeElgA3wIelV0TX5TYFh_TXlKfQEsCHhKdV9_BD8MKREiX352O1xoSnsbL0YoHjldfj45Vz4ZaEp4SQxCLB8oFjlffwd-LD4MLA4kVmAdLAooFDkXf1spG2hJCQBoX3sWI19-dnxIf04sGy8AaF4JSWsdIFspUC4XGhsuUXo_YwAFEWNKNwUfO2M2KkIcJ35AAj0aSDgUAjk1DCQKGCwZOT9UPgVrHSFFIg4lVz9LPx0mEykPelp4T2sKO1spUC4cLE1_VisPfkovT3RTL1woQC5Ma0RwWGNM,1,129,129,129,"0,00","0,000%","7,75194","3,99","18,24","527,0"
127 /success.txt,1,26,26,26,"0,00","0,000%","38,46154","14,42","11,53","384,0"
125 /MjEyM2I5KQVqC34CeQx-XXNJdQdmRiUFMlcqWy8KPhgzRD5Vb1QuHiwWIw8nUDoZIxwoVm9FKlctDTlCOhB-K2BLCxd7czodMlc6QmdFIU93P2tALwhrGTJEfAt7BWsZLUR8AnEFaxomRCVGPUVoWQRcf3RsBwsdMg5jRTkbPQZgSwsUOVQ_VyAPKFw9EH4uKx8SQSpHIgYpXH8EOVQqD2BKCQtsB3scIAtoAQ0HfVtzCHwXewMrGCoXOVcnURsPN1x-dnsbfFtrSHoXewMvCyYSKFwtYygYYEoJAWcGf0RzXH8EOkMkDmBKCQt6Uy4PcBp-HysHeFloSHxXfhh0XXYYYAd7AHladUosV3wHdU93Tz9TLVwiT3Y9OwNsB3sLJw0oQT0Qfi4xHD5GbAd4WQQJLEAsWzlPd0x-czpBLB4sHWBCKEcoBDFcfwQtVmhZAUtoAH9bI092PXwXewMsCydLaAENBGsNKBApDypaGgsmGnpgZ00FAWsBN1obdmMmIgkceHoNAi0SAzhLBnQ1HCxBGHMddD9ENk5rQiUIIh4tHD8UO1AmAyFEegV8AmsaMxApDypRLF13HStQegcvX3wYLwMsDS5cYw9wB2cB,1,146,146,146,"0,00","0,000%","6,84932","3,52","16,12","527,0"
129 /success.txt,1,20,20,20,"0,00","0,000%","50,00000","18,75","14,99","384,0"
128 /YzllZjIxPRVDHmJTcU1uS1hab1JmCzEVG0I9Ay9HKggaUSkNbxk6DgUDNFcnHS4JCgk_Dm8IPkcEGC4aOl1qO0leHE97Pi4NG0ItGmcINV9eKnwYL0V_CRtRa1N7SH8JBFFrWnFIfwoPUTIePQh8SS1JaCxsSh8NGxt0HTlWKRZJXhxMORkrRwkaPwQ9XWo-AgoFGSoKNhYASWhcORk-H0lfHlt4XWtMGgkoT3o8a0pdWitbbEpvHB4DNB4sFj0sCR5_WQ1Kd0tdQmtdbEpvGA0PMQ8nHA8fHklpLnpWakhCWn9YfwsvEwhJaS5wSz8ZCVk5WWQaa09fQWtbLE90Q1tfO0d8SmxOXFxpCyxNa0JJXmwYKBwwFUlfHhx4XWtMDQ4uDzoMfEkoGD8ZPV1rT18tKgs7HTcOSV5vWQgLLRsYBT5HORkrHwIYf1h_HDpfXyhoT3tONxRJXx5bbEpvGw0OaE96PGhcCwEzDnQbNi0NDzldG1YhMgdCIhAhKhpUIAsqOwNLYTUrOyAfMDcYAhoFYj8ILBgIQh9tTDkUZBUYBD8Ybwo8EQUIZ11-TW5cHBozDnQbPRtbXj4MK0trGFlVOwh4HWEZWkosV3xWbQ==,1,128,128,128,"0,00","0,000%","7,81250","4,02","18,42","527,0"
126 /MDQyOGU3KSt-C3pxbAR8fWVKdnd6QCUrJlcoLjMMPjYnRDwgc1IuMDgWIXo7Vjo3NxwqI3NDKnk5DTs3JhZ-BXRLCWJndTozJlc4N3tDIWFjP2k1Mw5rNyZEfn5nA2s3OUR-d20DazQyRCczIUNodxBcfQFwAQszJg5hMCUdPSh0SwlhJVI_eTQPKikhFn4APx8QNDZBIig9XH1xJVIqIXRKC3ZlFn9yJxw9YmZ3f3RgTz52cAF7IiMWITMwXSkSNAtqdBEBY3VgV35wcAF7JjAaJCI7VxshI1x8A2YdfnZ_T2p1Y0A7LTVcfANsACsnNEwsdHhRf3FiVH52MARgfWZKLmpgAXhwYUl8JjAGf3x0S3k1NFckK3RKCzFkFn9yMBs7IiZHaHcVDSo0IRZ_cWI4PyYnViMwdEt6dBRAOSUlECtqJVI_IT8NanVjVy5hYj19YmcFIyp0Sgt2cAF7JTAbfWJmd3xiNhQmI2hQIhMwGixwBx01DDpXNz09YQ5qHR4_Fh8AdQsWLjUyLHwMPCcQdxIUZww2fwp4YSVfcCslESo1c0EoLzgdcnBiBnpiIQ8mI2hQKSVmSyshNwB_JmRALiVkVnUnZ185emAdeQ==,1,323,323,323,"0,00","0,000%","3,09598","1,58","7,30","523,0"
130 /MzM4MWZlKRViRn9mbV91S34Cf2J1HyUVOhoqPjxTPgg7CT4wfA0uDiRbI2o0CToJK1EoM3wcKkclQDknKUl-O2gGC3JoKjoNOho6J3QcIV9_cmslPFFrCToJfG5oXGsJJQl8Z2JcawouCSUjLhxoSQwRfxF_XgsNOkNjICpCPRZoBgtxKg0_RyhCKDkuSX4-I1ISJDkeIhYhEX9hKg0qH2gHCWZoSX9MO1E_cmkof0p8Ajxmf157HD9bIyM_AiksKEZoZB5eY0t8Gnxgf157GCxXJjI0CBsfPxF-E2lCfkhjAmhlbB87EykRfhNjXysZKAEuZHcOf09-GXxmP1tgQ3oHLHpvXnhOfQR-Nj9Zf0JoBnslOwgkFWgHCSFrSX9MLFY5MikYaEkJQCgkLkl_T351PTYoCSMOaAZ4ZBsfORs5XSl6Kg0_HyNAaGVsCC5ffnB_cmhaIxRoBwlmf157GyxWf3JpKHxcKlkkM2cPIi0sVy5gCEI1MiYaNS0yPg5UAVM9BhBfdTUKYzciIyMMAjtddQIbOAwIY0d6cSoAcBU5XCglfB4oESRQcGBtWXpcPUIkM2cPKRt6BikxOF9_GHgNLDVrCXUZexI7am9CeQ==,1,151,151,151,"0,00","0,000%","6,62252","3,38","15,61","523,0"
131 /YzQ4NDAwPRV-RnpxdkVvSWQGfXNuBDEVJhopLSdIKggnCT0jZxY6DjhbIHkvEi4JN1ErIGcHPkc5QDo0MlJqO3QGCGFzMS4NJho5NG8HNV9jcmg2J0p_CSYJf31zR38JOQl_dHlHfwoyCSYwNQd8SRARfAJkRR8NJkNgMzFZKRZ0BghiMRYrRzRCKyo1Umo-P1IRNyIFNhY9EXxyMRY-H3QHCnVyUmtMJ1E8YXIza0pgAj91ZEVvHCNbIDAkGT0sNEZrdwVFd0tgGn9zZEVvGDBXJSEvEw8fIxF9AHJZakh_Amt2dwQvEzURfQB4RD8ZNAEtd2wVa09iGX91JEB0Q2YHL2l0RWxOYQR9JSRCa0J0Bng2IBMwFXQHCjJwUmtMMFY6ITIDfEkVQCs3NVJrT2J1PiUzEjcOdAZ7dwAELRslXSppMRYrHz9Aa3Z3EzpfYnB8YXNBNxR0Bwp1ZEVvGzBWfGFyM2hcNlknIHwUNi0wVy1zE1khMjoaNj4pJRpUHVM-FQtEYTUWYzQxODgYAidddhEAIxgIf0d5YjEbZBUlXCs2ZwU8EThQc3N2Qm5cIUInIHwUPRtmBioiI0RrGGQNLyZwEmEZZxI4eXRZbQ==,1,329,329,329,"0,00","0,000%","3,03951","1,56","7,17","527,0"
132 /NDgwY2Q0KitIBW8LYwV6dlVDbwB-QyYrEFk-WzcPPTYRSipVd1EtMA4YNw8_VTk3ARI8VndAKXkPAy1CIhV9BUJFHxdjdjkzEFkuQn9AImFVMX9ANw1oNxBKaAtjAGg3D0poAmkAaDQESjFGJUBrdyZSa3R0AggzEAB3RSEePihCRR8UIVE8eQIBPFwlFX0ACREGQTJCISgLUmsEIVEpIUJEHQNlFXxyERIrF2J0fHRWQSgDdAJ4IhUYN0Y0XioSAgV8ARUCYHVWWWgFdAJ4JgYUMlc_VBghFVJqdmIefXZJQXwAZ0M4LQNSanZoAygnAkI6AXxSfHFUWmgDNAdjfVBEOB9kAntwV0dqUzQFfHxCRW9AMFQnK0JEHURgFXxyBhUtVyJEa3cjAzxBJRV8cVQ2KVMjVSAwQkVsARBDOiUTHj0fIVE8IQkDfABnVC1hVDNrF2MGICpCRB0DdAJ4JQYVaxdidH9iABowVmxTIRMGFDoFAx42DAxZIUg5Yg1qKxApYxsDdgsgICNHKH8PPBEeYWcQZA82SQRuFCFccysTHzxAd0IrLw4TZAVmBXliFwEwVmxTKiVQRT1UMwN8JlJOOFBgVXYnUVEvD2Qeeg==,1,120,120,120,"0,00","0,000%","8,33333","4,29","19,65","527,0"
133 /success.txt,1,20,20,20,"0,00","0,000%","50,00000","18,75","14,99","384,0"
134 /Njc1OTg2OFtMXSAzSEQnDxQOEGkmQCUwFEMXPREBHgAxWQcbKQsdLSdnGyJQVyoILAYgECNdCg8xZRxiMX0mBAtSLWcAZwtdIgB6BRRgCglafiYGIUodBg9aIRYfQA0tMVopJ15TOC0MXCEVNgQmX1d9diwSVB8bLHQrbARFOVoPVgBkKH03CTNZCzIIcSINV3x2HgRdO10OVy0dX38rACBVGwNSRiwAE3IqFgYFHyQZWDUBDEcDDjBlIgMhSh8tMkYtACFceAkndHtnLWEHEC4CFQcoRT8AFgQHHDNQIy8PQXhjBFF_PhplODATdAsHVF4KHzFFKjgbcgozV30GIFV6Fx4_C3svW0QHZzNZNl1UayQmFHQ4MyhHNRc3ZhoTUX8VAhALAF0GejkBMQUlGC1dGy0rdiUdC3MWHQxTPV4VBSs1LmE0AjtEGmFfBQEwGWl8ETRlBz0uAXsdA38GHzJoPxcGARc6V2EDIw5HPl4Waw==/,1,145,145,145,"0,00","0,000%","6,89655","2,07","29,15","308,0"
135 /MGMwYThjKShiBWliUF15dH9FaGJHDD4kYxAwMlc5A3o-EH81Cx4kKCNKLDoOAyErKBN_JA9XJTM5BypxWytodQtSaxIfHTppOgd3JARPfwFrBT9pThk6enxOa2ROGSV6fEdhZE4aLnolAy0kTVkMYn8xfGYuHTowYwApehgGaHULUSk1Glc-KyIDKnFbLn13f1JrYV8pfXd1UmthXyl9c31Sa2FfKX1zfFJrYV8pfXJ7UmthXyl9cnpSa2FfKX1xdFJrYV8pfX9_UmthXyl9f3RSa2IKHyMkJVJqEF9deHBrEDQ9DFcuKBoWOjdfOGM_BRx3LBICHwRjOz4kOSB-fwIwDi4dEwIGNQEwbD0rGQY_WSpjThoheiIDMTEaTD8iJh49aV9deHBrBy89DFcuIyxAazAOCH51L0JgNQpbKH8uQX8iVV9jcw==,1,141,141,141,"0,00","0,000%","7,09220","3,62","15,47","523,0"
136 /M2NlMWNkKV1hHn1idlx0A3lZdWNhDyJGYAskMXEfIA98X31nfE05XydRfHEdJXBBKUodOD1WP1cvCDk-Iw5rQilRJSM6G2gBD0l_EWtZC0U5G2MgPkU9XmteC3E8DXAUPRtwZndZfRQ9BHBmflN9FD4PcD86Hz0XfS1oZQhOf3Q5Gzp5ORtjQiJJfxFoGyxAcxooJWtYCQB-XXsmf05_BCgeIjk6DiNWGAk_cn0vfxx_XWNmeU5_BCwNLjwrBSlkKx5oZApYYwF8QntyfF0-RCcIaGQKUn5ULQl4NH1GLwB7X2Bmfw56H3dbfjZjXn8Helx9ZC8OeAB2SX9hPAopWyFJfhM4WmgAeA0vIysYORd9KDkyPR9oAHtfDCcvGShcOkl_Yn0qPkYvGCQzYxssQCsCOXJ8XSlRa18JZWtZe1wgSX4Tf05_BD0PPzgiB2gBClt_cnxdLkEtHiI7Ik5-dn9cfXEpBiRWcw8iAC8ILgUcQjUfJUU1SCY-DnkCDD1jBF91GAk8N0c3IwwvOAJ1Zw84DCVgGHoUPgBwODoDKEBoHig8Jw9wBXlZenE-HSRWcw8pNnlZKVQsX381e1IsUH8JdTR4TTsPe0J5,1,145,145,145,"0,00","0,000%","6,89655","4,54","16,20","674,0"
137 /NzQyOTI2KhV-C31jeAp3TWNJfmRmVD0Zfx4mMnZhAEciHmk1KkYnFT9EJjo_VyAOPgs2cjlVcxIlDT8nbAEPX2M_amYPRTkNfw4_ejlea0gXXz0ydBQ9DWxIdmZ5FD0SbEh_bHkUKRc4HXI3JmUvGTJOHXoxeiVUKQMnBgocAh0hKAVncX0JLSsMNhsISjgTaSwOAAhAYAlmXz84dF06EjQLaSYsWScebE54YX4UPgw4HXI3LVN5SDUfLWd7UHtDMBt-MXFReFwnRHp6fQ==,1,148,148,148,"0,00","0,000%","6,75676","3,35","37,54","507,0"
TOTAL,125,41,0,329,"72,45","56,000%","84,28860","151,36","53,50","1838,9"
